text,label
4. DM: previously diet controlled. Begin ADA diet and cover with Novolog SSI as needed (give 2 Units for every 50 above glucose of 100) Will order HgbA1C to assess status of recent glycemic control.,Diabetes Management
"10

                  CATERERS

      11039

        91380

    GROSS SALES StreetSTE 100

    1.622

    0.074 $

                   149.00 $

         PREMISES HOUSTON, TX

      6.00

   11

             RESTAURANTS WITH SALE OF ALCOHOLIC BEVERAGES THAT ARE

      16910

      1210000

    GROSS SALES StreetSTE 100

    1.977

    0.085 $ 2,391.00 PREMISES HOUSTON, TX

                          $

     102.00
",Sales Tax Calculation
"(A)  This Agreement is a license agreement and not an agreement for the sale of software or services.







   (B)  This Agreement gives Licensee limited rights to use the Software and Related Materials described below and imposes upon Licensee certain obligations to protect the Software and Related Materials from unauthorized use, reproduction, distribution or publication.
",License Agreement
"United States - TSCA 4(a) - Final Test Rules: Not listed

                     United States - TSCA 4(a) - ITC Priority list: Not listed

                     United States - TSCA 4(a) - Proposed test rules: Not listed

                     United States - TSCA 4(f) - Priority risk review: Not listed

                     United States - TSCA 5(a)2 - Final significant new use rules: Not

                     listed
",US TSCA Regulations
"Under this design, if two periods occur on consecutive days, the interval between the last bolus on the first day and the first bolus on the second day is much longer compared to the length of time that the treatment (LY900014 or Humalog) lasts in the bloodstream; therefore, no carryover effect is assumed. This enables PK and GD data from the breakfast meal tests of each period to be analyzed independently and separately.",Design of Study
"9.4 Equitable Relief. The Parties hereto agree that irreparable damage would occur in the event that any provision of this Section 9 were not performed in accordance with the terms hereof. Accordingly, prior to the expiration or termination of this Agreement pursuant to Section 3, in the event of any breach or threatened breach by a Party of its obligations under this Agreement, the affected Party shall be entitled to equitable relief G@ncluding specific performance of the terms hereof) without prejudice to any other rights or remedies that may otherwise be available to such other Party.",Equitable Relief
"Cardiovascular: RRR, Normal S1, S2; no murmurs, rubs, or gallops; no prominent neck veins or JVD noted. 2+ pulses bilaterally (radial, femoral, dorsalis pedis)",Cardiovascular Exam
the parties hereto have executed this Agreement as of the date first above written.,Execution Date
"Coverages

  Building -

       Valuation

       REPLACEMENT COST

              Property Deductible

      $10,000

       Coinsurance

       90

              Theft Coverage

      YES

       Wind/Hail Ded. ($ or %)

       2

              Ord. Or Law Coverage

      NO

       Earthquake Coverage

       NO

       Agreed Value

       YES
",Building Coverage Details
"Notwithstanding anything in this Agreement to the contrary, under no circumstances shall Supplier be obligated to supply Purchaser with more than (1) 120,000 units of LeverCross Product during any twelve

                     (12) month period or more than 8,000 units of LeverCross Product during any one (1) month period, or (11) 20,000 units of NanoCross Product during any twelve (12) month period or more than 3,500 units of NanoCross Product during any one (1) month period, in each case unless Supplier agrees in writing to supply such
",Product Quantity Limits
"The proposed transferee has sufficient financial wherewithal to discharge its obligations under this Lease as determined by Landlord's criteria for selecting Project tenants and has a tangible net worth, experience, and reputation that is not less than the tangible net worth, experience, and reputation of Tenant on the Date of this Lease or the date of the transfer, whichever is greater. ""Tangible net worth"" shall mean the excess of the value of tangible assets (i.e. assets excluding those which are intangible such as goodwill, patents and trademarks) over liabilities.",Financial Qualifications
"All questions concerning the validity or meaning of this agreement or relating to the rights and obligations of the Parties with respect to performance under this agreement shall be construed and resolved under the laws of the State of Tennessee , without regard to principles of conflicts of laws. The parties agree that any claims asserted in any legal proceeding by one party against the other shall be commenced and maintained in any state or federal court in Nashville, Tennessee or Columbus, Ohio and the parties submit to the jurisdiction of these courts.",Governing Law
"10.2 Discharge of Liens. If any lien is filed against the Premises for work or materials claimed to have been furnished to Tenant, Tenant shall cause it to be discharged of record or properly transferred to a bond under Section 713.24, Florida Statutes, within 10 days after notice to Tenant. Further, Tenant shall indemnify, defend, and save Landlord harmless from and against any damage or loss, including reasonable attorneys' fees, incurred by Landlord as a result of any liens or other claims arising out of or related to work performed in the Premises by or on behalf of Tenant.",Discharge of Liens
"The terms of the notes being offered are as follows:

        Issuer: The Goldman Sachs Group, Inc. Face Amount: USD 240,000,000

        Denomination: USD 1,000,000 Type of Note: Zero coupon note Specified Currency: U.S. dollars (“USD”) Trade Date: March 9, 2018 Original Issue Date: March 28, 2018 ISIN Code: XS1610700681 Common Code: 161070068 Valoren Number: Not applicable

        Stated Maturity Date: March 28, 2048, subject to the Business Day Convention and subject to optional early redemption, as described under “Additional Redemption Rights at the Option of the Issuer” below

        Original Issue Price: 100% of the Face Amount

        Net Proceeds to Issuer: 99.90%1

        Amount Payable at Maturity: 392.685019% of the Face Amount outstanding on the Stated Maturity Date Yield to Maturity: 4.665% per annum, compounded annually

        Accreted Value: (1) As of any date prior to the Stated Maturity Date, an amount equal to the sum of (A) the Original Issue Price of your note and (B) the portion of

        292.685019% of the Face Amount of your note which shall have been accreted from the Original Issue Price on a daily basis and compounded annually, beginning on March 28, 2019, up to and including the Stated Maturity Date, at the rate of 4.665% per annum from the Original Issue Date, computed on the basis of a 360-day year consisting of twelve 30-day calendar months; and (2) as of any date on or after the Stated

        1 The Lead Manager and the Co-Managers will receive a fee of

        0.10% of the Face Amount of the notes in connection with the sale of the notes. See “Additional Information About the Plan of Distribution” below.

         Maturity Date, 392.685019% of the Face Amount of your note outstanding on the Stated Maturity Date

         Interest Rate: Not applicable Day Count Fraction: Not applicable

                           Redemption payments will be

         Calculation Basis:

         calculated on a per denomination basis

         Additional Redemption Rights at the Option of the

         Issuer: On each Early Redemption Date listed below, the Issuer has the right to redeem the notes in whole but not in part at a price equal to the product of (i) the Face Amount outstanding on such Early Redemption Date, multiplied by (ii) the relevant Early Redemption Amount listed below which corresponds to such Early Redemption Date; provided that, if an originally scheduled Early Redemption Date is not a Business Day, such Early Redemption Date shall be postponed to the next day that is a Business Day. In the event of a redemption, notice will be given to Euroclear Bank SA/NV and Clearstream Banking, société anonyme, no fewer than five (5) Business Days prior to the relevant Early Redemption Date:

          Early Redemption Date

            Early Redemption Amount

             March 28, 2023

              125.605133%

             March 28, 2024

              131.464613%

             March 28, 2025

              137.597437%

             March 28, 2026

              144.016357%

             March 28, 2027

              150.734721%

             March 28, 2028

              157.766495%

             March 28, 2029

              165.126302%

             March 28, 2030

              172.829444%

             March 28, 2031

              180.891938%

             March 28, 2032

              189.330547%

            March 28, 2033

             198.162817%

            March 28, 2034

             207.407112%

            March 28, 2035

             217.082654%

            March 28, 2036

             227.209560%

            March 28, 2037

             237.808886%

            March 28, 2038

             248.902670%

            March 28, 2039

             260.513980%

            March 28, 2040

             272.666957%

            March 28, 2041

             285.386870%

            March 28, 2042

             298.700168%

            March 28, 2043

             312.634531%

            March 28, 2044

             327.218932%

            March 28, 2045

             342.483695%

            March 28, 2046

             358.460559%

            March 28, 2047

             375.182744%

        Repurchase at the Holder’s Option: Not applicable

        Repayment upon Event of Default: 100% of the Accreted Value as of the date of acceleration Business Days: The relevant Business Days are Taipei, London and New York; see “Description of the Program — Features Common to All Notes — Business Days” in the Offering Circular Business Day Convention: Following; see “Description of the Program — Features Common to All Notes — Business Day Conventions” in the Offering Circular Final BDC Procedure: Applicable; see “Description of the Program — Features Common to All Notes — Business Day Conventions” in the Offering Circular Form of Notes: Registered global notes only, registered in the name of a nominee for a common depositary for Euroclear and Clearstream, Luxembourg; see “Description of the Program — Form, Exchange, Registration and Transfer” in the Offering Circular

       Intended to Be Held in a Manner Which Would Allow Eurosystem Eligibility: No

       Clearing: Euroclear Bank SA/NV and Clearstream Banking, société anonyme

       Gross-up and Call in the Case of Tax Law Changes:

       The Issuer will not gross up any payments due on the notes and will not compensate the Holder for any amount that may be withheld or due because of tax law changes with regard to withholding tax or certain reporting requirements nor, therefore, will the right of the Issuer to redeem the notes arising from the payment of additional amounts be applicable; see “Description of the Program — Payment of Additional Amounts” and “— Redemption and Repayment” in the Offering Circular

       Calculation Agent: Goldman Sachs International, London, UK

       Lead Manager: Goldman Sachs (Asia) L.L.C., Taipei Branch

       Co-Managers: Cathay United Bank Co., Ltd., E.SUN Commercial Bank, Ltd., KGI Securities Co. Ltd., MasterLink Securities Corporation, SinoPac Securities Corporation and Taipei Fubon Commercial Bank Co., Ltd.

       Listing and Admission to Trading: Application will be made by the Issuer to the Taipei Exchange in the Republic of China (the “TPEx”) for the listing and trading of the notes on the TPEx. TPEx is not responsible for the content of this document and the Offering Circular and no representation is made by the TPEx to the accuracy or completeness of this document and the Offering Circular. TPEx expressly disclaims any and all liability for any losses arising from, or as a result of the reliance on, all or part of the contents of this document and the Offering Circular. Admission to the listing and trading of the notes on the TPEx shall not be taken as an indication of the merits of the Issuer or the notes. The effective date of the listing of the notes is on or about the Original Issue Date.

             We have the right to redeem your notes, in whole but not in part, on each early redemption date at a price equal to the product of (i) the face amount outstanding on such early redemption date, multiplied by (ii) the relevant early redemption amount listed above which corresponds to such early redemption date, as set forth in the table above under “Additional Redemption Rights at the Option of the Issuer”.

             Your investment in your note involves risks. In particular, assuming no changes in market conditions or our creditworthiness and other relevant factors, the value of your note on the date of this Pricing Supplement (as determined by reference to pricing models used by Goldman Sachs and taking into account our credit spreads) may be significantly less than the original issue price. We encourage you to read “Risk Factors” on page 10 of the Offering Circular and “Additional Investment Considerations Specific to Your Note” below, so that you may better understand those risks.

             If interest rates increase, in most cases, the market value of the notes will decrease and if you sell the notes prior to maturity you will receive less than the accreted value of the notes.

             Any offered notes sold by the Issuer to dealers may be resold by such dealers in negotiated transactions or otherwise at varying prices determined at the time of sale, which prices may be different from the original issue price. The Lead Manager and the Co-Managers will receive a fee of 0.10% of the face amount of the notes in connection with the sales of the notes. See “Additional Information About the Plan of Distribution” below.

             This Pricing Supplement should be read in conjunction with the Offering Circular and all documents incorporated by reference therein, and you should base your investment decision on a consideration of this Pricing Supplement and the Offering Circular and all documents incorporated by reference therein, as a whole only.

             The notes have not been registered under the U.S. Securities Act of 1933, as amended (the “Securities Act”) and may not be offered or sold in the United States or to U.S. persons (as those terms are defined in Regulation S under the Securities Act) unless an exemption from the registration requirements of the Securities Act is available. See ""Notice to Investors"" below. This Pricing Supplement is not for use in, and may not be delivered to or inside, the United States.

             The notes are not bank deposits and are not insured by the Federal Deposit Insurance Corporation or any other governmental agency, nor are they obligations of, or guaranteed by, a bank.

             To the extent permitted by the law and regulations of the Republic of China (“R.O.C.” or “Taiwan”), Goldman Sachs International or other affiliates of The Goldman Sachs Group, Inc. may use this Pricing Supplement in a market- making trans
",Note Terms and Conditions
"Lead Manager

                                     Goldman Sachs (Asia) L.L.C., Taipei Branch

                                                  Co-Managers
",Lead and Co-Managers
"We Have the Right to Redeem Your Note at Our Option

                On each early redemption date listed above, we will have the option to redeem your notes at a price equal to the product of (i) the face amount outstanding on such early redemption date, multiplied by (ii) the relevant early

                                                     S-7 redemption amount listed above which corresponds to such early redemption date, by notice to Euroclear Bank SA/NV and Clearstream Banking, société anonyme, no fewer than five (5) business days prior to the relevant early redemption date. Even if we do not exercise this option, our ability to do so may adversely affect the value of your notes.

                          ADDITIONAL INFORMATION ABOUT THE PLAN OF DISTRIBUTION
",Early Redemption Option
Up to 36 patients may be enrolled to ensure that at least 30 patients will complete the study. Thirty completing patients will provide greater than 95% power to demonstrate a 2-fold increase in the serum insulin lispro AUC(0- 30min) between LY900014 and Humalog when both are given immediately before meals.,Study Enrollment Requirements
"Florida Statutes. Tenant represents to Landlord that any improvements that might be made by Tenant to the Premises are not required to be made under the terms of this Lease and that any improvements which may be made by Tenant do not constitute the ""pith of the lease"" under applicable Florida case law. Tenant shall notify every contractor making improvements to the Premises that the interest of the Landlord in the Premises shall not be subject to liens.",Florida Statutes Compliance
"Client will defend, indemnify and hold Company harmless from any and all claims, losses, liabilities, damages, expenses and costs (including attorneys’ fees and court costs) arising from or relating to any claims regarding elements or materials provided by Client and incorporated into the Deliverable. Additionally, Client will defend, indemnify and hold Company harmless from any and all claims, losses, liabilities, damages, expenses and costs (including attorneys’ fees and court costs) arising from or relating to any claims regarding Client’s unauthorized use of any music, images, or other materials comprising the Deliverable.",Indemnification Clause
"Carrier represents and warrants that all transportation performed under this Agreement shall be contract carriage. To the extent that Carrier performs services pursuant to this Agreement within, or to or from Canada, it shall procure and maintain any and all operating authorities or permits required to be held by Carrier under any applicable Federal, Provincial or Territorial laws and shall adhere to the Canadian National Safety Code. Without cost to Shipper, Carrier shall provide and complete all preventive maintenance and ongoing maintenance including, but not limited to, periodic safety inspections, annual safety inspections and emissions testing pursuant to",Maintenance Requirements
"1. To evaluate the effect of injection-to-meal timings (immediately before the start of meal, and 20 minutes following the start of the meal) on the GD response to LY900014 compared to Humalog, as measured by the MMTT

             2. To evaluate the tolerability of LY900014
",Study Objectives
Put on appropriate personal protective equipment (see Section 8).,PPE Requirements
"[3] have a body mass index (BMI) of 18.5 kg/m2 to 35.0 kg/m2, both inclusive, at screening.",BMI Requirements
"Landlord shall have no obligation to perform any alterations or tenant improvements or other work in the Premises and Tenant shall continue possession of the Premises in its ""as-is,"" ""where-is,"" and ""with all faults"" condition.",No Landlord Obligation
"11.1 Limit on Liability. Neither party will be liable for breach-of-contract damages suffered by the other party that are remote or speculative, or that could not have reasonably been foreseen on entry into this agreement.",Limitation of Liability
"responsible for the direct acts of its employees, and not for the actions of customers, lumpers, draymen, other carriers, or any other third party (“Third Parties”), unless Shipper proximately caused or contributed to the actions of any of the Third Parties. If Carrier agrees to interchange equipment to another carrier or to use equipment owned by a third party, Carrier, will address any interchange agreement directly with that motor carrier or equipment owner.",Third Party Liability
"INSURANCE.

                         7.1 Tenant's Insurance. Tenant shall obtain and keep in full force and effect the following insurance coverages:
",Tenant's Insurance
"time, and any regulations derived therefrom, including, without limitation, shipping Commodities only with food

                           and acceptable non- food products as defined in the Sanitary Food Transportation Act of 1990.
",Sanitary Food Transportation Act Compliance
"No Obligations. Each party retains the right, in its sole discretion, to determine whether to disclose any Confidential Information to the other party. Neither party will be required to negotiate nor enter into any other agreements or arrangements with the other party, whether or not related to the Purpose.",No Obligations
"(c) Carrier (and if different from Carrier, any driver of a Shipment) has not been and is not now under any indictment, or a defendant in any lawsuit, or the subject of any administrative or other proceeding instituted by any

                    federal, state or local governmental agency or entity, and to the best of its (their) knowledge there are no such

                                                             proceedings threatened.
",Legal Compliance
"6.4.4 The proposed transferee shall not be any person or entity who shall at that time be a tenant, subtenant, or other occupant of any part of the Project, or an affiliate of any of them, or who dealt with Landlord or Landlord's agent (directly or through a broker) as to space in the Project during the six months immediately preceding Tenant's request for Landlord's consent.",Transfer Restrictions
"Potential acute health effects

                  Eye contact

                           :

                 No known significant effects or critical hazards.

                  Inhalation

                           :

                 Exposure to decomposition products may cause a health hazard.

                 Serious effects may be delayed following exposure.

                  Skin contact

                           :

                 No known significant effects or critical hazards.

                  Ingestion

                           :

                 No known significant effects or critical hazards.
",Health Effects
"[32] have a significant history of alcoholism or drug abuse as judged by the investigator or consuming more than 24 g of alcohol per day for men, or more than 12 g of alcohol per day for women (1 unit of alcohol is defined as 10 mL [8 g] of pure alcohol).",Alcohol or Drug Abuse Criteria
"1. infertile due to surgical sterilization (hysterectomy, bilateral oophorectomy or bilateral salpingectomy), congenital anomaly such as mullerian agenesis; or

                                             2. post-menopausal – defined as a woman being amenorrheic for more than 1 year without an alternative medical cause and a serum follicle- stimulating hormone (FSH) level compatible with postmenopausal status. A FSH level in the post- menopausal range may be used to confirm a post- menopausal state in women not using hormonal contraception or hormonal replacement therapy.
",Menopausal Status Requirements
"Skin Respiratory

                                                    : Mixture.Not fully tested.

                                                    : Mixture.Not fully tested.

                 Mutagenicity
",Skin Respiratory Mutagenicity
"This Agreement shall be binding upon, inure to the benefit of, and be enforceable by the Parties, as well as their respective successors and permitted assigns.",Applicability and Enforcement Rights
"(c)  reverse engineer, decompile or disassemble the Software (except that the Licensee may decompile the Software for the purposes of interoperability only to the extent permitted by and subject to strict compliance under the United States Law).",Reverse Engineering Restriction
"S-7 redemption amount listed above which corresponds to such early redemption date, by notice to Euroclear Bank SA/NV and Clearstream Banking, société anonyme, no fewer than five (5) business days prior to the relevant early redemption date. Even if we do not exercise this option, our ability to do so may adversely affect the value of your notes.",Redemption Notice Requirements
"9.   Updates. Provided that Licensee is in compliance with the terms and conditions of this Agreement, Licensor agrees to make available to Licensee all updates, improvements and enhancements for the Software, if any, at Licensor’s then current update fee of $5,000 per update. Nothing herein shall be construed or interpreted as requiring Licensor to develop any such updates, improvements or enhancements.",Software Updates
"2

             RESTAURANTS WITH SALE OF ALCOHOLIC BEVERAGES THAT ARE

      16910

      1279131

    GROSS SALES StreetSTE 125

     1.977

    0.085 $ 2,528.00 PREMISES HOUSTON, TX

                          $

                                 108.00    3

             RESTAURANTS, TAV-

                ERNS, HOTELS, MOTELS, INCLUDING

      58161

        49759

    GROSS SALES StreetSTE 100

     1.374

                    68.00 INCLUDED PREMISES HOUSTON, TX

            $

   4

             RESTAURANTS WITH SALE OF ALCOHOLIC BEVERAGES THAT ARE

      16910

      1570000

    GROSS SALES

     StreetSTE 100

     1.977

    0.085 $ 3,103.00 $

         PREMISES HOUSTON, TX

     133.00

   5

                  CATERERS

      11039

       102053

    GROSS SALES StreetSTE 100

     1.622

    0.074                    165.00 $ PREMISES HOUSTON, TX

            $

      8.00

   6

             RESTAURANTS, TAV-

                ERNS, HOTELS, MOTELS, INCLUDING

      58161

       117211

    GROSS SALES

          StreetSTE 100

  1.374

                   160.00 INCLUDED PREMISES HOUSTON, TX

            $

   7

             RESTAURANTS WITH SALE OF ALCOHOLIC BEVERAGES THAT ARE

      16910

      2055633

    GROSS SALES

          StreetSTE 100

  1.977

    0.085 $ 4,062.00 $ 174.00 PREMISES HOUSTON, TX

                                              General Liability Quote Summary

           Classification Description
",Alcoholic Beverage Sales
"Section 8.1

                    Carrier hereby represents and warrants to Shipper, that as of the Effective Date and as of the date

                                                of each Shipment:
",Carrier Representations and Warranties
"To the extent that Carrier performs services pursuant to this Agreement within, or to or from Canada, Carrier warrants that it holds a valid registration with the Commercial Vehicle Operator’s Registration (CVOR) System for transporting goods through Canada. Carrier shall notify Shipper immediately of any conviction",Canadian CVOR Registration Warrant
[37] have regular use of or intended use of known inducers or inhibitors of cytochrome P450 [CYP]2C8 or niacin. Patients taking these medications before study enrollment will be eligible with an appropriate washout period which will be evaluated by the investigator in consultation with the Lilly CP,Medication Use Eligibility
"This Agreement may not be modified or amended, except by an agreement in writing signed by an approved representative of Shipper and Carrier. The parties may waive any of the conditions contained herein or any of the obligations of the other party hereunder, but any such waiver shall be effective only if in writing and

                                            signed by the party waiving such conditions or obligations.

                  Section 13.8

                     Each person executing this Agreement warrants and represents that he is fully authorized to do

                                                       so.
",Modification and Authorization
Protocol I8B-MC-ITRV(b) A Study to Evaluate the Pharmacokinetics and,Study Protocol
Note that Insurance1 also offers separate options for some management lines via endorsements to your general liability policy. Your Insurance1 agent will be happy to discuss your options with you.,Endorsement Options
"d.  Sections 8 and Sections 14 through 17, inclusive, of this agreement shall survive the termination or expiration of this agreement and each Product-specific exhibit to this agreement, and except as set forth herein, no termination of this agreement or any Product-specific exhibit to this agreement shall affect any liabilities arising, or based upon acts or omissions occurring, prior to the date of such termination.",Survival of Terms
"Co-owner of insured premises - Mortgagee, assignee or receiver",Co-Owner of Insured Premises
"We will not merge or consolidate with another corporation or corporate entity, unless certain conditions are met.",Merger Restriction
"Protocol I8B-MC-ITRV(b) A Study to Evaluate the Pharmacokinetics and

                   Glucodynamics of LY900014 compared to Humalog® in Patients with T1DM .........................................................................................................................1
",Study Description
"preformed in the ED, prior to assessment

                   CT head w/o contrast:

                         o Old anterior right frontal lobe tissue loss (9/05)

                         o Bilateral basal ganglia with multiple infarcts; left sided infarcts appear old (9/05), right side infarct of indeterminate age

                         o No hemorrhage or mass lesion

                   EKG: Sinus bradycardia with rate of 59. Normal intervals (PR = 0.14, QRS = 0.08 Qtc = 0.450) and normal axis. No ventricular hypertrophy or atrial enlargement. No signs of ischemia/infarct. No change from previous EKG (9/05).
",CT Head and EKG Findings
"assign, mortgage, charge or otherwise encumber either the Software and Related Materials or its rights under this Agreement.",Encumbrance Restriction
"a. Will restart prescribed home medications: HCTZ 25 mg po qday and Lotrel 10/20 mg po qday. Currently beta blocker contraindicated due to recurrent cocaine use.

                         b. Add Clonidine 0.1 mg po q4hr prn SBP > 180 for increased coverage.
",Prescribed Medications
"Carrier shall have no lien, and hereby expressly waives its right to any lien on any

                               cargo, freight, or property of Shipper or any of its customers, consignors or consignees.

                         EXECUTED on the dates indicated below but effective as of the Effective Date first above written.
",Waiver of Lien
"Taxes. CP shall pay when due all sales, use, gross receipts, excise, personal property taxes associated with each Product (excluding any personal property tax associated with CRD’s equipment used in connection with the Services), and other taxes or similar charges now or hereafter imposed as a result of the transactions contemplated by this agreement, none of which have been included in the fees payable to CRD under this agreement; provided that the amounts payable by CP under this section shall not include taxes based on the net income of CRD.",Tax Payments
o Gait with mild right foot drag. Negative Romberg.,Gait Assessment
"Any notice or communication required or permitted hereunder shall be given in writing, sent by",Notification Requirements
"The interest of Landlord in the Premises shall not be subject in any way to any liens, including construction liens, for Alterations made by or on behalf of Tenant. This exculpation is made with express reference to Section",Lien Exculpation
"A. Supplier shall not adjust Standard Cost of any Product more than once every twelve (12) months. Purchaser agrees that it shall acquire the Products solely for incorporation into DCB Products and research in connection therewith, and shall not otherwise sell or independently use or commercialize the Products.",Cost Adjustment & Use of Products
"8. Payment. In exchange for Company’s Services under this Agreement, the Client shall pay Company the contract price and deposit set forth above. Company will submit a final invoice to Client for all services rendered by the Services Completion Date and Client shall promptly pay. Client is restricted from using any form of the Deliverable until final payment is received. Client shall pay travel and other expenses incurred by Company in performing the Services. In the event of a good faith dispute with regard to an item appearing on an invoice, Company shall have the right to withhold the Deliverable while the parties attempt to resolve the disputes.",Payment Terms
"25.  Successors. This Agreement may not be assigned or transferred by a party without the prior written consent of the other party hereto, provided, however, that either party may assign this Agreement to any subsidiary, affiliate or an entity which acquires substantially all of it’s assets and business that is not in direct competition with CRD. Any such assignment shall not materially or adversely affect the rights or obligations of either party to this Agreement.",Successor Assignment
"Section 14.3 Shipper shall file a claim (i) for loss or damage to shipments within three (3) months from the date of delivery and (ii) for delay (or non-delivery) within three (3) months of the date that delivery reasonably should have been made. Within ninety (90) days of receiving a claim from Shipper for loss, damage, or delay, Carrier shall pay or deny the claim (in which case the reasons for denial shall be fully explained), or make a

                                                             firm compromise offer.
",Claims Filing Requirements
"original Bill of Lading or accepting an electronic shipping document in lieu of an original Bill of Lading, acknowledges that the Commodities are in good condition except for any exceptions written on these documents. All shipments shall be transported under the bill of lading utilized by Shipper or such other documents that Shipper and Carrier may mutually agree in writing to use. To the extent the terms and conditions of any bill of lading, purchase order, invoice or other document or instrument conflict with any provision of this Agreement, the terms of this",Shipping Documents
"Emp + Spouse Emp + Child(ren) Emp + Family

                                Total
",Coverage Options
": Decomposition products may include the following materials:

                      carbon dioxide carbon monoxide nitrogen oxides halogenated compounds metal oxide/oxides
",Decomposition Products
"The notes will be traded and settled pursuant to the applicable rules and operating procedures of TDCC and the TPEx as domestic bonds. Additionally, such investor may apply to TDCC (by filing in a prescribed form) to transfer the notes in its own account with Euroclear or Clearstream, Luxembourg to such TDCC account with Euroclear or Clearstream, Luxembourg for trading in the domestic market or vice versa for trading in overseas markets.",Trading and Settlement
