Text,Ground Truth,docugami/dfm-csl-large
"(c)   that the Renewal Term shall be upon the same terms, covenants and conditions as in this lease provided, except that (i) there shall be no further option to extend this lease beyond the Renewal Term referred to above; (ii) the Demised Premises shall be delivered in its then “as is” condition; and (iii) the Rent to be paid by Tenant during the Renewal Term shall be as follows: The Rent for the first year of the subject Renewal Term shall be equal to the greater of (A) ninety-five (95%) percent of the Fair Market Minimum Annual Rent (as hereinafter defined), but in no event higher than one hundred ten (110%) percent of the Rent payable during the Lease Year immediately preceding the first day of the Renewal Term, and (B) one hundred three (103%) percent of the Rent payable during the Lease Year immediately preceding the first day of the Renewal Term. Thereafter, the Rent for each year of the Renewal Term shall be increased by three (3%) percent of the Rent payable for the prior year of the Renewal Term. As used herein, the term “Fair Market Minimum Annual Rent” shall mean the rate then being received by landlords when entering into new leases for comparable size space in comparable buildings for a comparable term in the vicinity of the Building.",Renewal Term Rent Increase,Renewal Term Rent Increase
"This Agreement will be governed and construed in accordance with the laws of the State of Washington, excluding its body of law controlling conflict of laws. This Agreement is the complete and exclusive understanding and agreement between the parties regarding the subject matter of this Agreement and supersedes all prior agreements, understandings and communications, oral or written, between the parties regarding the subject matter of this Agreement. If any provision of this Agreement is held invalid or unenforceable by a court of competent jurisdiction, that provision of this Agreement will be enforced to the maximum extent permissible and the other provisions of this Agreement will remain in full force and effect. Neither party may assign this Agreement, in whole or in part, by operation of law or otherwise, without the other party’s prior written consent, and any attempted assignment without such consent will be void. This Agreement may be executed in counterparts, each of which will be deemed an original, but all of which together will constitute one and the same instrument.",Governing Law & Assignment,Governing Law and Venue
"Tenant shall not knowingly use or occupy or permit the Premises to be used or occupied, nor do or permit anything to be done in or on the Premises, in any manner which in any way will violate any rules and regulations of governmental authorities, any certificate of occupancy affecting the Premises, or make void or voidable any insurance then in force with respect to the Premises. In the event that any governmental authority shall contend or declare by notice of violation or order, or otherwise, that the Premises are being used in a manner in violation of any law, rule or regulation or in violation of any certificate of occupancy, Tenant, within ten days after written notice shall discontinue such use of the Premises, and failure to discontinue such use shall constitute a material default by Tenant hereunder. The statement in this Lease of the nature of Tenant's business shall not be deemed or construed to constitute a representation or warranty by Landlord that such business may be conducted in the Premises or is lawful or permissible under any certificate of occupancy issued for the building.",Compliance with Laws,Compliance with Laws
"Tenant agrees that it shall not at any time, without first obtaining Landlord’s prior written consent, do any of the following:",No Unauthorized Actions,No Landlord Consent
"Notwithstanding any other provision hereof to the contrary notwithstanding, in no event may the Premises be used for any of the following purposes: 



              (a)   the sale, rental or use of amusement devices, pinball machines, electronic computer, card games, games of chance of any kind, or video type amusement machines, games or devices (such as Pacman); 







              (b)   pornographic movie theater or live ""sex show"" theater; 







              (c)   bowling alley; 







              (d)   billiard parlor or pool hall,; 







              (e)   funeral parlor; 







              (f)   massage parlor; 







              (g)   gasoline station; 







              (h)   sale or rental of pornographic literature (such as an ""Adult Book Store""); 







              (i)    the sale or rental of video tapes of X-Rated, R-Rated, PG-Rated, Not-rated or any kind of movies or ""pornographic"" movies; 







              (j)    flea market, bingo or other game hall or meeting room; 







              (k)   drug abuse treatment center; 







              (l)    methadone maintenance clinic or center; 







              (m)   the sale of paraphernalia used in connection with illicit drugs; 







              (n)   any games of chance or gambling, in any form (including, but not limited to horse racing, such as an OTB parlor, but excluding the sale of lottery tickets that are sponsored by federal, state, county or local authorities); 







              (o)   the sale of prescription drugs, cosmetics, health and beauty aid products and pharmaceutical products; 







              (p)   intentionally omitted; 







              (q)   discotheque, ballroom, or dance hall.",Prohibited Use,Permitted Use
"The Limits of Insurance, Coverage Period and Coverage Radius shown in the left column are included in the coverage form and apply unless a revised Limit of Insurance, Coverage Period, Coverage Radius or Not Covered is shown under the column on the right. The Limits of Insurance apply in any one occurrence unless otherwise stated.",Insurance Limits and Coverage,Insurance Coverage Details
"This Mutual Non-Disclosure Agreement (this “Agreement”) is entered into and made effective as of 4/30/2019 between Docugami Inc., a Delaware corporation, whose address is 150 Lake Street South, Suite 221, Kirkland, Washington 98033, and Billi Seager, an individual, whose address is 55 Brooksby Village Way, Danvers MA 1923.

The above named parties desire to engage in discussions regarding a potential agreement or other transaction between the parties (the “Purpose”). In connection with such discussions, it may be necessary for the parties to disclose to each other certain confidential information or materials to enable them to evaluate whether to enter into such agreement or transaction.

In consideration of the foregoing, the parties agree as follows:

1.   Confidential Information. For purposes of this Agreement, “Confidential Information” means any information or materials disclosed by one party to the other party that: (i) if disclosed in writing or in the form of tangible materials, is marked “confidential” or “proprietary” at the time of such disclosure; (ii) if disclosed orally or by visual presentation, is identified as “confidential” or “proprietary” at the time of such disclosure, and is summarized in a writing sent by the disclosing party to the receiving party within thirty (30) days after any such disclosure; or (iii) due to its nature or the circumstances of its disclosure, a person exercising reasonable business judgment would understand to be confidential or proprietary.



2.   Obligations and Restrictions. Each party agrees: (i) to maintain the other party's Confidential Information in strict confidence; (ii) not to disclose such Confidential Information to any third party; and (iii) not to use such Confidential Information for any purpose except for the Purpose. Each party may disclose the other party’s Confidential Information to its employees and consultants who have a bona fide need to know such Confidential Information for the Purpose, but solely to the extent necessary to pursue the Purpose and for no other purpose; provided, that each such employee and consultant first executes a written agreement (or is otherwise already bound by a written agreement) that contains use and nondisclosure restrictions at least as protective of the other party’s Confidential Information as those set forth in this Agreement.



3.   Exceptions. The obligations and restrictions in Section 2 will not apply to any information or materials that:



(i)   were, at the date of disclosure, or have subsequently become, generally known or available to the public through no act or failure to act by the receiving party;



(ii)  were rightfully known by the receiving party prior to receiving such information or materials from the disclosing party;



(iii)  are rightfully acquired by the receiving party from a third party who has the right to disclose such information or materials without breach of any confidentiality obligation to the disclosing party; or



(iv)  are independently developed by the receiving party without access to any Confidential Information of the disclosing party.





4.   Compelled Disclosure. Nothing in this Agreement will be deemed to restrict a party from disclosing the other party’s Confidential Information to the extent required by any order, subpoena, law, statute or regulation; provided, that the party required to make such a disclosure uses reasonable efforts to give the other party reasonable advance notice of such required disclosure in order to enable the other party to prevent or limit such disclosure.



5.   Return of Confidential Information. Upon the completion or abandonment of the Purpose, and in any event upon the disclosing party’s request, the receiving party will promptly return to the disclosing party all tangible items and embodiments containing or consisting of the disclosing party’s Confidential Information and all copies thereof (including electronic copies), and any notes, analyses, compilations, studies, interpretations, memoranda or other documents (regardless of the form thereof) prepared by or on behalf of the receiving party that contain or are based upon the disclosing party’s Confidential Information.



6.   No Obligations. Each party retains the right, in its sole discretion, to determine whether to disclose any Confidential Information to the other party. Neither party will be required to negotiate nor enter into any other agreements or arrangements with the other party, whether or not related to the Purpose.



7.   No License. All Confidential Information remains the sole and exclusive property of the disclosing party. Each party acknowledges and agrees that nothing in this Agreement will be construed as granting any rights to the receiving party, by license or otherwise, in or to any Confidential Information of the disclosing party, or any patent, copyright or other intellectual property or proprietary rights of the disclosing party, except as specified in this Agreement.



8.   No Warranty. ALL CONFIDENTIAL INFORMATION IS PROVIDED BY THE DISCLOSING PARTY “AS IS”.



9.   Term. This Agreement will remain in effect for a period of five (5) years from the date of last disclosure of Confidential Information by either party, at which time it will terminate.



10.  Equitable Relief. Each party acknowledges that the unauthorized use or disclosure of the disclosing party’s Confidential Information may cause the disclosing party to incur irreparable harm and significant damages, the degree of which may be difficult to ascertain. Accordingly, each party agrees that the disclosing party will have the right to seek immediate equitable relief to enjoin any unauthorized use or disclosure of its Confidential Information, in addition to any other rights and remedies that it may have at law or otherwise.



11.  Miscellaneous. This Agreement will be governed and construed in accordance with the laws of the State of Washington, excluding its body of law controlling conflict of laws. This Agreement is the complete and exclusive understanding and agreement between the parties regarding the subject matter of this Agreement and supersedes all prior agreements, understandings and communications, oral or written, between the parties regarding the subject matter of this Agreement. If any provision of this Agreement is held invalid or unenforceable by a court of competent jurisdiction, that provision of this Agreement will be enforced to the maximum extent permissible and the other provisions of this Agreement will remain in full force and effect. Neither party may assign this Agreement, in whole or in part, by operation of law or otherwise, without the other party’s prior written consent, and any attempted assignment without such consent will be void. This Agreement may be executed in counterparts, each of which will be deemed an original, but all of which together will constitute one and the same instrument.",Mutual Non-Disclosure Agreement,Confidentiality of Arbitration Agreement
"Tenant agrees that the conduct of its business and its use of the Premises and any equipment therein shall be in such a manner as: 



 (a)   Not to cause, create or permit any fumes, vapors, or odors or permit the same to escape from the demised Premises into any other portion of the Building or the outside of the Building; and 







              (b)   Not to constitute a public or private nuisance. 





     If Tenant installs and/or utilizes cooking equipment on the Premises: 



 (a)   Tenant shall install, if not already in existence, a filtration and air purifying system as Landlord shall deem reasonably necessary or advisable to cause its operations to comply with the terms and conditions of this Lease and all provisions of law. If at any time after Tenant opens for business in the reasonable judgment of Landlord or any municipal authorities, it becomes necessary (notwithstanding the installation of a filtration (or air purifying system) to eliminate any fumes, vapors or odors from the Premises, as aforesaid, Tenant agrees, at its sole cost and expense, promptly to install 







 such additional air purifying equipment as may be necessary to accomplish the purposes and intent of this Article. 



 (b)   Tenant, at its sole cost and expense, shall maintain and keep the flues, ducts, drains, wastepipes, sewers and connections with the Building's main sewers, in or appurtenant to the Premises, and/or leading from the Premises to the exterior of the Building, and/or located in the Basement of the Building (for the purposes of this subparagraph “b” referred to collectively as the ""drainpipes"") in good repair and free from all dirt, dust, grease and other obstructions pursuant to a maintenance contract which shall remain in full force and effect throughout the term hereof, and copies of all such maintenance contracts shall be furnished to Landlord; and Tenant, at its sole cost and expense, shall make any necessary replacements of said drainpipes defined above. Further, Tenant, at its sole cost and expense, shall install grease traps where necessary to keep the other elements of the drainpipes free from grease. Tenant, at its sole cost and expense, promptly shall repair any leaks in the drainpipes. Tenant, at its sole cost and expense, shall also repair, maintain and make any necessary replacements of the flues, ducts, drains, wastepipes, grease traps, sewers and connections with the Building's main sewers, no matter where located in or appurtenant to the Building, if any such repairs are made necessary due to the negligence of the Tenant or its agents or employees or Tenant's use of the Premises. 





 (c)   Tenant agrees promptly to cause the installation, if not already in existence, of an Ansul Restaurant Hood and Duct Fire Control System, or equal, at Tenant's sole cost, all as approved by the Board of Fire Underwriters and municipal authorities having jurisdiction thereover, and to maintain the same throughout the term of this Lease. 





 Tenant, at its sole cost and expense, shall maintain and make all necessary repairs to, and any necessary replacement of, any grease trap and drain in the Premises; and Tenant, at its sole cost and expense, shall at all times keep any grease trap and drain in the Premises clean and free from blockages and backups. 



 Tenant, at its sole cost and expense, shall install and maintain fire extinguishers and other fire protection devices as may be required from time to time, by any Requirements.",No Nuisance,Applicability of Filtration and Air Purifying
"(i)    Conduct or permit any fire, bankruptcy, auction or “going out of business” sale (whether real or fictitious) in the Demised Premises, or utilize any unethical method of business operation;",Unethical Business Practices,Unethical Business Practices
"The additional rent provided for herein shall be collectible by Landlord in the same manner as the regular installments of fixed rent due under this Lease. Notwithstanding anything set forth elsewhere in this Article or elsewhere in this Lease, no delay or failure by Landlord in preparing or delivering any statement or demand for any additional rent, including but not limited to the statements and/or demands provided for in this Article, shall constitute a waiver of, or impair Landlord's rights to collect, such additional rent.",Additional Rent Collection,Additional Rent
"It is more likely that the etiology is kinin-related where angioedema results from generation of bradykinin and complement-derived mediators that increase vascular permeability since there is no urticaria or pruritis. The most likely cause is the Altace (ACEI) that the patient has been taking caused an increase in bradykinin since it decreases angiotensin 2 which degrades bradykinin. Bradykinin can then interact with vascular receptors increasing vasodilation, vascular permeability, increased cGMP and release of nitric oxide. This reaction occurs in .1-7% of patients treated with an ACEI and it typically involves the mouth, lips, tounge, larynx, pharynx and sublottic tissues. Half of these cases usually occur within a week of starting the ACEI but can occur years later. This is a class specific reaction not a drug specific and ARBs can cause the same reaction even though these drugs don’t effect the kinin metabolism. 50% of patients with angioedema due to an ARB also had an ACEI induced angioedema (Cicardi, M, Zingale, LC, Bergamschini L, Agostoni, A. Angioedema associated with agniotensin-converting enzyme inhibitor use: outcome after switching to a different treatment. Arch Intern Med 2004; 164:910). Deficiency of C1 inhibitor can cause angioedema since levels of complement are reduced and cause increased bradykinin. This can be due to lack of C1 INH or adequate amounts of nonfunctional C1 INH. Other causes of angioedema include aspirin and NSAIDs since inhibition of cox and enzyme pathyway increases formation of pro-inflammatory leukotrienes.",Diagnosis,Angioedema Explanation
"Subject to Section 5(b), during each Product Term set forth on the Product-specific exhibits to this agreement, CRD shall perform the customer credit research, billing, cash application, collections, and reporting services described in the Operating Guidelines in accordance with the policies and procedures set forth in such Operating Guidelines, as such policies and procedures may be supplemented or amended from time to time by CP with reasonable prior notice to CRD and with its prior approval (the “Financial Support Services”); provided that if CRD notifies CP in good faith that any such supplement or amendment will require any material modification to CRD’s procedures or requirements for providing the Services, then CP shall pay all unique costs resulting from that modification.",Financial Support Services,Financial Support Services
"Aircraft Make:

           Cirrus Design Corp.

                Registration:

             N141CD

           Model/Series:

           SR-20

                Aircraft Category:

             Airplane

           Year of Manufacture:

                Amateur Built:

             No

           Airworthiness Certificate:

                Serial Number:

           Landing Gear Type:

                Seats:

           Date/Type of Last Inspection:

                Certified Max Gross Wt.:

           Time Since Last Inspection:

                Engines:

           Airframe Total Time:

                Engine Manufacturer:

           ELT:

                Engine Model/Series:

           Registered Owner:

                Rated Power:

           Operator:

                Operating Certificate(s) Held:

             None",Aircraft Details,Engine Details
"In granting its consent to any Tenant's Alterations as defined in this Article, Landlord may impose such reasonable conditions (including completion, payment, restoration and if Tenant's Alterations are reasonably expected to cost in excess of $25,000, a requirement that Tenant either post a bond to insure the completion of and payment for Tenant's Alterations or furnish Landlord with other financial security reasonably satisfactory to Landlord to assure Landlord that Tenant’s Alterations will be completed lien free) as Landlord may reasonably require. In no event shall Landlord be required to consent to any Tenant's Alterations which would physically affect any part of the Building outside of the Premises or would adversely affect the proper functioning of the mechanical, electrical, sanitary or other service systems of the Building. At the time Tenant requests Landlord's written consent to Tenant’s Alterations, Tenant shall deliver to Landlord detailed plans and specifications therefor. Tenant shall pay to Landlord any reasonable fees or expenses in connection with Tenant's Alterations incurred by Landlord in connection with Landlord's submitting such plans and specifications, if it so chooses, to an architect or engineer selected by Landlord for review or examination. Tenant shall pay to Landlord the minimum sum of $750.00 to reimburse Landlord for the administrative costs of initial review and processing of proposed Tenant’s Alterations plans and specifications, in each instance; and if, in connection therewith, Landlord incurs expenses in excess of said $750.00 amount, then Tenant shall pay Landlord the amount of such excess fees as additional rent within ten (10) days of Landlord’s submission to Tenant of bills for same. Landlord's approval of any plans or specifications does not relieve Tenant from the responsibility for the legal sufficiency and technical competency thereof. Before commencement of any Tenant’s Alterations, (a) Tenant shall obtain the necessary consents, authorizations and licenses from all federal, state and/or municipal authorities having jurisdiction over such work, and (b) Tenant shall provide Landlord with a bond insuring Landlord against non-payment for any work to be performed by Tenant or furnish Landlord with other financial security reasonably satisfactory to Landlord to assure Landlord that Tenant’s Alterations will be completed lien free. Notwithstanding the foregoing, solely in connection with Tenant’s Initial Alterations (defined below), Tenant shall not be required to pay Landlord or its designee for Landlord’s review of Tenant’s Initial Alterations plans or Landlord’s supervision, if any, or any other Landlord out-of-pocket cost of Tenant’s Initial Alterations or post a bond to insure the completion of and payment for Tenant's Alterations. “Initial Alterations” shall refer to the alterations made to the Premises by Tenant as part of, and as approved by Landlord as, Tenant’s initial build-out of the Premises prior to commencement of operations by Tenant. Landlord consents to Tenant’s Initial Alterations described on annexed Exhibit D. Tenant agrees to indemnify and save Landlord harmless from and against any and all bills for labor performed and equipment, fixtures and materials furnished to Tenant and applicable sales taxes thereon as required by New York law and from and against any and all liens, bills or claims therefor or against the Premises or the Building and from and against all losses, damages, costs, expenses, suits, and claims whatsoever in connection with Tenant’s Alterations.",Lien Exculpation,Lien Exculpation
"Chief Complaint:

                 ""swelling of tongue and difficulty breathing and swallowing""",Chief Complaint,Complaint Description
"Causes of Loss – Broad Form Flood – aggregate in any one policy year, for all losses covered under the Causes of Loss – Broad Form Flood endorsement, commencing with the inception date of this policy:

          AGGREGATE LIMITS OF

                   INSURANCE

       01. Applies at the following Building(s) numbered:

       07-13,18

                  $1,000,000

       02. Applies at the following Building(s) numbered:

       02-06,14-15

                  $2,500,000

       03. Applies at the following Building(s) numbered:

       16-17,19

                  $5,000,000

       If more than one Annual Aggregate Limit applies in any one occurrence, the most we will pay is the highest involved Annual Aggregate Limit. The most we will pay during each annual period is the highest of the Annual Aggregate Limits shown.

       EXCESS OF LOSS LIMITATION APPLIES – See Causes of Loss – Broad Form Flood endorsement.

       Causes of Loss – Equipment Breakdown

       The insurance provided for loss or damage caused by or resulting from Equipment Breakdown is included in, and does not increase the Covered Property, Business Income, Extra Expense, and/or other coverage Limits of Insurance that otherwise apply under this Coverage Part.

       COVERAGE EXTENSION:

                                                LIMITS OF INSURANCE

                                                                              REVISED LIMITS OF INSURANCE

       Spoilage

                             $25,000

       LIMITATIONS:

       LIMITS OF INSURANCE

       REVISED LIMITS OF INSURANCE

       Ammonia Contamination

                             $25,000

       Hazardous Substance

                             $25,000",Flood and Equipment Breakdown Limits,Flood and Equipment Breakdown Limits
"1.        Confidential Information. For purposes of this Agreement, “Confidential Information” means any information or materials disclosed by one party to the other party that: (i) if disclosed in writing or in the form of tangible materials, is marked “confidential” or “proprietary” at the time of such disclosure; (ii) if disclosed orally or by visual presentation, is identified as “confidential” or “proprietary” at the time of such disclosure, and is summarized in a writing sent by the disclosing party to the receiving party within thirty (30) days after any such disclosure; or (iii) due to its nature or the circumstances of its disclosure, a person exercising reasonable business judgment would understand to be confidential or proprietary.



2.        Obligations and Restrictions. Each party agrees: (i) to maintain the other party's Confidential Information in strict confidence; (ii) not to disclose such Confidential Information to any third party; and (iii) not to use such Confidential Information for any purpose except for the Purpose. Each party may disclose the other party’s Confidential Information to its employees and consultants who have a bona fide need to know such Confidential Information for the Purpose, but solely to the extent necessary to pursue the Purpose and for no other purpose; provided, that each such employee and consultant first executes a written agreement (or is otherwise already bound by a written agreement) that contains use and nondisclosure restrictions at least as protective of the other party’s Confidential Information as those set forth in this Agreement.



3.        Exceptions. The obligations and restrictions in Section 2 will not apply to any information or materials that:



(i)        were, at the date of disclosure, or have subsequently become, generally known or available to the public through no act or failure to act by the receiving party;



(ii)        were rightfully known by the receiving party prior to receiving such information or materials from the disclosing party;



(iii)        are rightfully acquired by the receiving party from a third party who has the right to disclose such information or materials without breach of any confidentiality obligation to the disclosing party;





4.        Compelled Disclosure. Nothing in this Agreement will be deemed to restrict a party from disclosing the other party’s Confidential Information to the extent required by any order, subpoena, law, statute or regulation; provided, that the party required to make such a disclosure uses reasonable efforts to give the other party reasonable advance notice of such required disclosure in order to enable the other party to prevent or limit such disclosure.



5.        Return of Confidential Information. Upon the completion or abandonment of the Purpose, and in any event upon the disclosing party’s request, the receiving party will promptly return to the disclosing party all tangible items and embodiments containing or consisting of the disclosing party’s Confidential Information and all copies thereof (including electronic copies), and any notes, analyses, compilations, studies, interpretations, memoranda or other documents (regardless of the form thereof) prepared by or on behalf of the receiving party that contain or are based upon the disclosing party’s Confidential Information.



6.        No Obligations. Each party retains the right to determine whether to disclose any Confidential Information to the other party.



7.        No Warranty. ALL CONFIDENTIAL INFORMATION IS PROVIDED BY THE DISCLOSING PARTY “AS IS”.



8.        Term. This Agreement will remain in effect for a period of seven (7) years from the date of last disclosure of Confidential Information by either party, at which time it will terminate.



9.        Equitable Relief. Each party acknowledges that the unauthorized use or disclosure of the disclosing party’s Confidential Information may cause the disclosing party to incur irreparable harm and significant damages, the degree of which may be difficult to ascertain. Accordingly, each party agrees that the disclosing party will have the right to seek immediate equitable relief to enjoin any unauthorized use or disclosure of its Confidential Information, in addition to any other rights and remedies that it may have at law or otherwise.



10.        Non-compete. To the maximum extent permitted by applicable law, during the Term of this Agreement and for a period of one (1) year thereafter, Caleb Divine may not market software products or do business that directly or indirectly competes with Docugami software products.



11.        Miscellaneous. This Agreement will be governed and construed in accordance with the laws of the State of Washington, excluding its body of law controlling conflict of laws. This Agreement is the complete and exclusive understanding and agreement between the parties regarding the subject matter of this Agreement and supersedes all prior agreements, understandings and communications, oral or written, between the parties regarding the subject matter of this Agreement. If any provision of this Agreement is held invalid or unenforceable by a court of competent jurisdiction, that provision of this Agreement will be enforced to the maximum extent permissible and the other provisions of this Agreement will remain in full force and effect. Neither party may assign this Agreement, in whole or in part, by operation of law or otherwise, without the other party’s prior written consent, and any attempted assignment without such consent will be void. This Agreement may be executed in counterparts, each of which will be deemed an original, but all of which together will constitute one and the same instrument.",Confidentiality Obligations,Confidentiality Obligations
are rightfully acquired by the receiving party from a third party who has the right to disclose such information or materials without breach of any confidentiality obligation to the disclosing party;,Legally Acquired Information,No Obligation to Restore
"Valuation provision

       Replacement cost (subject to limitations) applies to most types of covered property (See Valuation Loss Condition).",Replacement Cost Valuation,Valuation Loss Condition
were rightfully known by the receiving party prior to receiving such information or materials from the disclosing party;,Pre-Existing Knowledge,Unauthorized Use
treating asthma Diltiazem 300 mg qhs – Ca channel blocker used to control hypertension Simvistatin (Zocor) 20 mg qhs- HMGCo Reductase inhibitor for hypercholesterolemia Ramipril (Altace) 10 mg BID – ACEI for hypertension and diabetes for renal protective,Medication Treatment Plan,Exclusion Criteria
"DESCRIPTION

              FORM NUMBER

        NUCLEAR ENERGY LIABILITY EXCLUSION

              IL 00 21 09 08

        TEXAS CHANGES - DUTIES

              IL 01 68 03 12

        TX CHGES - CANCEL & NONREN PROVS PKG POL

              IL F0 19 11 18

        COMMON DEC

              IL T0 02 11 89

        LOCATION SCHEDULE

              IL T0 03 04 96

        POLICY JACKET - EXECUTION CLAUSE

              IL T0 15 01 04

        COMMON POLICY CONDITIONS-DELUXE

              IL T3 18 05 11

        FED TERRORISM RISK INS ACT DISCLOSURE

              IL T3 68 01 21

        AMNDT COMMON POLICY COND-PROHIBITED COVG

              IL T4 12 03 15

        CAP ON LOSSES FROM CERT ACTS OF TERRORIS

              IL T4 14 01 21

        ADDITIONAL BENEFITS

              IL T4 27 06 19

        PROTECTION OF PROPERTY

              IL T4 40 10 20

        NAMED INSURED ENDORSEMENT

              IL T8 00 01 00

        NOTICE-INFORMATION OR COMPLAINTS-TEXAS

            PN T0 22 12 19

        FLOOD POLICYHOLDER NOTICE

            PN T0 53 12 13

        LOSS CONTROL SERVICES (TEXAS)

            PN T2 27 06 19

        NOTICE INDEPENDENT AGENT AND BROKER COMP

            PN T4 54 01 08

        IMP NOTICE-PERIOD TO FILE CLAIM-TX CAT

            PN T9 70 03 13

        IMPT NOTICE - FLOOD - TX

            PN U3 53 06 19

        COVERAGE

       POLICY NUMBER

                      COMMISSION

        DELUXE

       630-001

                         17.50 %

        GENERAL LIABILITY

       630-001

                         17.50 %

        EMPLOYEE BENEFITS LIABILITY

       630-001

                         17.50 %

        AUTO

       BA-0N547714

                         17.50 %

        UMBRELLA

       CUP-001

                         10.00 %",Insurance Forms and Endorsements,Insurance Forms and Endorsements
"7. Payment. In exchange for Company’s Services under this Agreement, the Client shall pay Company the contract price and deposit set forth above. Company will submit a final invoice to Client for all services rendered by the Services Completion Date and Client shall promptly pay. Client is restricted from using any form of the Deliverable until final payment is received. Client shall pay travel and other expenses incurred by Company in performing the Services. In the event of a good faith dispute with regard to an item appearing on an invoice, Company shall have the right to withhold the Deliverable while the parties attempt to resolve the disputes.",Payment Terms & Conditions,Payment Terms & Conditions
"Plan:

                 ++Swollen tongue:

                     • Give patient corticosteroid to decrease inflammation and to protect against relapse after initial improvement. 4 days of Dexamethasone 10 mg IV tid.

                     • Give patient antihistamine to block inflammation as well. 4 days of Diphenhydramine 25 mg bid.

                     • ENT consult to rule out abscess or foreign object

                     • Check C1 and C4 levels that would be decreased if the patient had C1 inhibitory complement deficiency

                     • TSH level to check for hypo/hyper thyroid

                     • Hold all oral home meds and keep patient NPO until airway swelling is reduced and patient can swallow easily

                 ++Asthma/COPD

                     • continue albuterol and ipratropium nebs prn

                     • resume theophylline when patient can take oral meds

                 ++DM

                     • Not on oral home meds

                     • Patient is on corticosteroids that increase blood glucose levels, so put patient on sliding scale normal insulin to adjust for high sugars

                     • Resume neurontin for neuropathy when oral meds can be taken

                 ++HTN

                     • Continue patient’s BP control with Diltiazem drip 5mg/hour

                     • HOLD altace (ACEI) that is most likely the cause of angioedema

                     • Consider an alternative HTN medication to replace the ACEI. Can’t use a HCTZ because of sulfa allergy. Also has asthma/COPD picture so beta blocker may not work well either.

                 ++CAD s/p PCI in 1999

                  - Resume simvastatin and aspirin when patient is able to take oral meds

                 ++GERD

                 - famotidine when oral meds are resumed",Swollen Tongue Treatment Plan,Study Plan
